date,instance_type,stack_type,env,cost,hours,DefaultVCpus,core_seconds_used,cost_per_core_hour
2023-06-24T00:00:00.000+0000,c5.2xlarge,cmp,prod,30.93,120,8,3456000,0.03221875
2023-06-24T00:00:00.000+0000,c5.2xlarge,io,prod,49.488,192,8,5529600,0.03221875
2023-06-24T00:00:00.000+0000,m5.4xlarge,cmp,prod,699.2135500865000,1585.558882,16,91328191.6032,0.027561793747629600
2023-06-24T00:00:00.000+0000,m5n.4xlarge,cmp,prod,0.0637228658,0.106667,16,6144.0192,0.0373375
2023-06-24T00:00:00.000+0000,m6a.4xlarge,cmp,prod,175.0828065725,311.880592,16,17964322.0992,0.03508610568105260
2023-06-24T00:00:00.000+0000,m6i.4xlarge,cmp,prod,434.7384122041,778.155045,16,44821730.592,0.034917399735879400
2023-06-24T00:00:00.000+0000,m6in.4xlarge,cmp,prod,9.7656579267,15.994162,16,921263.7312,0.03816102528027100
2023-06-24T00:00:00.000+0000,r5.2xlarge,cmp,prod,1336.7327358913,7039.433574000000,8,202735686.93120000,0.023736510932294600
2023-06-24T00:00:00.000+0000,r5ad.4xlarge,io,prod,1090.5617729934,1873.814192,16,107931697.4592,0.036375063815338800
2023-06-24T00:00:00.000+0000,r5ad.8xlarge,io,prod,758.1653321172000,647.511695,32,74593347.264,0.03659033004595000
2023-06-24T00:00:00.000+0000,r5b.2xlarge,cmp,prod,3.8862289204,12.779444,8,368047.9872,0.0380125
2023-06-24T00:00:00.000+0000,r5d.4xlarge,io,prod,4759.5879080474,8411.782234,16,484518656.6784,0.035363997304945300
2023-06-24T00:00:00.000+0000,r5d.8xlarge,io,prod,1388.9239676347,1511.485561,32,174123136.6272,0.02871603613591140
2023-06-24T00:00:00.000+0000,r5dn.4xlarge,io,prod,1629.1699442099,2786.147499,16,160482095.9424,0.036546206383425500
2023-06-24T00:00:00.000+0000,r5dn.8xlarge,io,prod,155.4359649463,129.018322,32,14862910.6944,0.03764871399096230
2023-06-24T00:00:00.000+0000,r5n.2xlarge,cmp,prod,3.6881618572,12.302501,8,354312.0288,0.03747370003465150
2023-06-24T00:00:00.000+0000,r6a.2xlarge,cmp,prod,85.70299043410000,284.457531,8,8192376.8928,0.03766071429573960
2023-06-24T00:00:00.000+0000,r6i.2xlarge,cmp,prod,223.7461419775,762.514717,8,21960423.8496,0.03667898746561180
2023-06-24T00:00:00.000+0000,r6id.4xlarge,io,prod,7.5955797016,12.533056000000000,16,721904.0256000000,0.037877731604327000
2023-06-24T00:00:00.000+0000,r6id.8xlarge,io,prod,172.4674669856,151.02082100000000,32,17397598.5792,0.03568784958002580
2023-06-24T00:00:00.000+0000,r6idn.4xlarge,io,prod,466.1288716501,776.373335,16,44719104.096,0.037524542851708400
2023-06-24T00:00:00.000+0000,r6idn.8xlarge,io,prod,398.1727308472,330.45914700000000,32,38068893.7344,0.03765336185103390
2023-06-24T00:00:00.000+0000,r6in.2xlarge,cmp,prod,64.5964064483,214.622505,8,6181128.144,0.037622106805796100
2023-06-25T00:00:00.000+0000,c5.2xlarge,cmp,prod,40.8,120,8,3456000,0.042500000000000000
2023-06-25T00:00:00.000+0000,c5.2xlarge,io,prod,65.28,192,8,5529600,0.0425
2023-06-25T00:00:00.000+0000,r5.2xlarge,cmp,prod,2678.4323336955,13405.556526,8,386080027.9488,0.024975019952553800
2023-06-25T00:00:00.000+0000,r5ad.4xlarge,io,prod,1447.4495549636,2508.313096,16,144478834.3296,0.036066309795810700
2023-06-25T00:00:00.000+0000,r5ad.8xlarge,io,prod,383.8307787188,328.923069,32,37891937.5488,0.036466617776093100
2023-06-25T00:00:00.000+0000,r5d.4xlarge,io,prod,3870.5155698574,6821.6748260000000,16,392928469.9776,0.035461558823368000
2023-06-25T00:00:00.000+0000,r5d.8xlarge,io,prod,1536.718915648,1534.923887,32,176823231.78240000,0.03128654555494580
2023-06-25T00:00:00.000+0000,r5dn.4xlarge,io,prod,1361.3275439664,2299.142237,16,132430592.8512,0.03700639748540270
2023-06-25T00:00:00.000+0000,r5dn.8xlarge,io,prod,73.3065802166,60.476381,32,6966879.091200000,0.03787975725215350
2023-06-25T00:00:00.000+0000,r6i.2xlarge,cmp,prod,0.7673254848,2.647776,8,76255.9488,0.036225
2023-06-25T00:00:00.000+0000,r6id.4xlarge,io,prod,12.6307891803,20.683889000000000,16,1191392.0064000000,0.038166145823387000
2023-06-25T00:00:00.000+0000,r6id.8xlarge,io,prod,920.7488571021,789.303345,32,90927745.344,0.03645417438898680
2023-06-25T00:00:00.000+0000,r6idn.4xlarge,io,prod,382.8632085183,633.529719,16,36491311.8144,0.0377708413903054
2023-06-25T00:00:00.000+0000,r6idn.8xlarge,io,prod,271.4664958724,225.137771,32,25935871.2192,0.03768060756012590
2023-06-26T00:00:00.000+0000,c5.2xlarge,cmp,prod,40.8,120,8,3456000,0.042500000000000000
2023-06-26T00:00:00.000+0000,c5.2xlarge,io,prod,65.28,192,8,5529600,0.0425
2023-06-26T00:00:00.000+0000,m5.4xlarge,cmp,prod,154.7421116711,373.48249,16,21512591.424,0.025895141642232700
2023-06-26T00:00:00.000+0000,m5a.4xlarge,cmp,prod,4.876448082,8.184447,16,471424.1472,0.03723868028285850
2023-06-26T00:00:00.000+0000,m5n.4xlarge,cmp,prod,26.0888218971,43.458059,16,2503184.1984,0.03752011493584540
2023-06-26T00:00:00.000+0000,m6a.4xlarge,cmp,prod,18.7368337281,31.582775,16,1819167.84,0.03707882249125510
2023-06-26T00:00:00.000+0000,m6i.4xlarge,cmp,prod,60.599335135,113.108607,16,6515055.7632,0.03348514800414350
2023-06-26T00:00:00.000+0000,m6in.4xlarge,cmp,prod,3.6530048582,5.970837,16,343920.2112,0.03823798968846410
2023-06-26T00:00:00.000+0000,r5.2xlarge,cmp,prod,1974.6084574738,10717.263199,8,308657180.1312,0.023030698472279300
2023-06-26T00:00:00.000+0000,r5a.2xlarge,cmp,prod,1.0659166588,3.511112,8,101120.0256,0.03794797270779170
2023-06-26T00:00:00.000+0000,r5ad.4xlarge,io,prod,1548.9001652188,2652.890562,16,152806496.3712,0.036490860841690100
2023-06-26T00:00:00.000+0000,r5ad.8xlarge,io,prod,361.4067426996,303.223902,32,34931393.510400000,0.0372462745676378
2023-06-26T00:00:00.000+0000,r5b.2xlarge,cmp,prod,91.1635345593,301.102204,8,8671743.4752,0.03784576023864810
2023-06-26T00:00:00.000+0000,r5d.4xlarge,io,prod,5717.6253531384,10060.630645,16,579492325.152,0.03551979962098590
