date,instance_type,stack_type,env,cost,hours,DefaultVCpus,core_seconds_used,memory_gb,executor_cpu,executor_mem,num_executors,unallocated_cores,unallocated_core_seconds,cost_per_core_hour
2023-03-04,r6i.2xlarge,cmp,prod,110.4551853287,525.398342,8,15131472.2496,65.536,1,1,1,0,0,0.02627891461082590
2023-03-04,r6id.4xlarge,io,prod,56.5022733694,79.957504,16,4605552.2304,131.072,2,2,2,0,0,0.04416586197572530
2023-03-04,r6idn.4xlarge,io,prod,296.641244905,528.109185,16,30419089.056,131.072,2,2,2,0,0,0.03510652405441970
2023-03-04,r6in.2xlarge,cmp,prod,298.8505103561,1447.321105,8,41682847.824,65.536,1,1,1,0,0,0.02581066058213290
2023-03-05,c5.2xlarge,cmp,prod,17.712,72,8,2073600,16.384,1,0,0,8,2073600,0.03075
2023-03-05,c5.2xlarge,io,prod,70.848,288,8,8294400,16.384,1,0,0,8,8294400,0.03075
2023-03-05,c5ad.16xlarge,io,prod,0.8107151736,0.632778,64,145792.0512,131.072,8,2,2,48,109344.0384,0.020018750000000000
2023-03-05,c5d.18xlarge,io,prod,4767.3565866113,3585.680217,72,929408312.2464,147.456,9,2,2,56,722873131.7472,0.018466032082625300
2023-03-05,c6id.16xlarge,io,prod,10.4554792726,7.732778,64,1781632.0512,131.072,8,2,2,48,1336224.0384,0.021126542574269600
2023-03-05,m5ad.8xlarge,io,prod,11.9080368904,15.746112000000000,32,1813952.1024,131.072,4,2,2,16,906976.0512,0.023632891270238600
2023-03-05,m5d.8xlarge,io,prod,140.3046321829,193.262771,32,22263871.2192,131.072,4,2,2,16,11131935.6096,0.02268683064528570
2023-03-05,m5dn.8xlarge,io,prod,25.1211720223,34.40361,32,3963295.872,131.072,4,2,2,16,1981647.936,0.022818437533063400
2023-03-05,m6idn.8xlarge,io,prod,111.0358333003,172.308606,32,19849951.4112,131.072,4,2,2,16,9924975.7056,0.020137530394937900
2023-03-05,m6in.4xlarge,cmp,prod,41.6955338637,64.84973,16,3735344.448,65.536,2,1,1,8,1867672.224,0.0401847604682587
2023-03-05,r5.2xlarge,cmp,prod,1393.1440579479,6410.967262,8,184635857.1456,65.536,1,1,1,0,0,0.02716329691397630
2023-03-05,r5a.2xlarge,cmp,prod,145.0973013499,664.3308510000000,8,19132728.5088,65.536,1,1,1,0,0,0.02730140056183770
2023-03-05,r5ad.4xlarge,io,prod,1956.9513801043,3900.091376,16,224645263.2576,131.072,2,2,2,0,0,0.031360665549831700
2023-03-05,r5b.2xlarge,cmp,prod,83.5075460785,222.133593,8,6397447.478400000,65.536,1,1,1,0,0,0.04699173645389380
2023-03-05,r5d.4xlarge,io,prod,643.881536283,1496.709969,16,86210494.2144,131.072,2,2,2,0,0,0.026887370867566900
2023-03-05,r5dn.4xlarge,io,prod,3290.3991213922,8121.689731,16,467809328.5056,131.072,2,2,2,0,0,0.025321078728489100
2023-03-05,r5n.2xlarge,cmp,prod,221.7089318476,1079.449172,8,31088136.153600000,65.536,1,1,1,0,0,0.025673850330166400
2023-03-05,r6a.2xlarge,cmp,prod,281.4896475714,1388.555266,8,39990391.6608,65.536,1,1,1,0,0,0.025340155201589900
2023-03-05,r6i.2xlarge,cmp,prod,132.3812369644,628.736422,8,18107608.9536,65.536,1,1,1,0,0,0.0263189057314545
2023-03-05,r6id.4xlarge,io,prod,19.2548803897,29.561945,16,1702768.032,131.072,2,2,2,0,0,0.040708756624648700
2023-03-05,r6idn.4xlarge,io,prod,319.6062255924,572.202211,16,32958847.353600000,131.072,2,2,2,0,0,0.03490966779840880
2023-03-05,r6in.2xlarge,cmp,prod,301.5053384055,1441.7233460000000,8,41521632.364800000,65.536,1,1,1,0,0,0.026141053625337800
2023-03-06,c5.2xlarge,cmp,prod,20.664,84,8,2419200,16.384,1,0,0,8,2419200,0.030750000000000000
2023-03-06,c5.2xlarge,io,prod,71.832,292,8,8409600,16.384,1,0,0,8,8409600,0.030750000000000000
2023-03-06,c5ad.16xlarge,io,prod,0.0708054165,0.056667,64,13056.0768,131.072,8,2,2,48,9792.0576,0.019523437500000000
2023-03-06,c5d.18xlarge,io,prod,3679.609220679,2811.538006,72,728750651.1552000,147.456,9,2,2,56,566806062.0096,0.01817712707830340
2023-03-06,c6id.16xlarge,io,prod,6.5651416586,4.499446,64,1036672.3584,131.072,8,2,2,48,777504.2688,0.0227984375
2023-03-06,m5.4xlarge,cmp,prod,8.3595560487,21.662493,16,1247759.5968000000,65.536,2,1,1,8,623879.7984000000,0.024118750000000000
2023-03-06,m5a.4xlarge,cmp,prod,27.5211029208,72.188056,16,4158032.0256,65.536,2,1,1,8,2079016.0128,0.023827611212442100
2023-03-06,m5ad.8xlarge,io,prod,12.60311916,16.491941,32,1899871.6032,131.072,4,2,2,16,949935.8016,0.02388120802457390
2023-03-06,m5d.8xlarge,io,prod,296.58824744350000,408.542495,32,47064095.424,131.072,4,2,2,16,23532047.712,0.022686459416197000
2023-03-06,m5dn.8xlarge,io,prod,2.1682067805,2.998613,32,345440.21760000000,131.072,4,2,2,16,172720.10880000000,0.022595934150430500
2023-03-06,m5n.4xlarge,cmp,prod,6.1916147712,10.077498,16,580463.8848,65.536,2,1,1,8,290231.9424,0.038400000000000000
2023-03-06,m6idn.8xlarge,io,prod,113.674145682,163.15084,32,18794976.768,131.072,4,2,2,16,9397488.384,0.02177320725141530
