EAN,Description,Size,BSP,Soc Date,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Old National #,Group,Group Item,Merch Cat. Code,Merch Cat. Desc
6009712060009,SPAR PH ZINC PLUS,60'S,325.74,2023-03-03T07:05:00,82.9800,82.9800,82.9800,82.9800,82.9800,82.2600,3105626,SPAR PH ZINC PLU,HVITA,H,VITA
6009712060160,SPAR PH IMMUNE VALUE PACK,1'S,504.17,2023-03-03T07:05:00,189.9800,189.9800,189.9800,189.9800,189.9800,188.3300,3104390,SPAR PH IMMUN VP,HVITA,H,VITA
6009712061204,SPAR PH JOINT COMPLEX,90'S,629.80,2023-03-03T07:05:00,169.9400,169.9800,169.9800,169.9800,169.9800,168.5100,3104388,SPAR PH JOINT CO,HVITA,H,VITA
6009712061211,SPAR PH OMEGA 90 + 30,90'S,502.87,2023-03-03T07:05:00,129.9800,129.9800,129.9800,129.9800,129.9800,128.8500,3118988,SPAR PH OMEGA,HVITA,H,VITA
6009712061228,SPAR PH M/VIT FAM+20FREE,60'S,482.57,2023-03-03T07:05:00,119.9800,119.9800,119.9800,119.9800,119.9800,118.9400,3104339,SPAR PH M/VIT,HVITA,H,VITA
6009712061235,SPAR PH CALMAG + 20 FREE,60'S,529.73,2023-03-03T07:05:00,169.9800,169.9800,169.9800,169.9800,169.9800,168.5100,3104169,SPAR PH CALMAG,HVITA,H,VITA
6009712061372,SPAR PH CYDIN,60'S,383.99,2023-03-03T07:05:00,94.9900,94.9900,94.9900,94.9900,94.9900,94.1600,3104204,SPAR PH CYDIN,HVITA,H,VITA
6009712061396,SPAR PH LIVER SUPPORT,20'S,230.90,2023-03-03T07:05:00,59.9800,59.9800,59.9800,59.9800,59.9800,59.4600,3104579,SPAR PH L/SUPP,HVITA,H,VITA
6009712061419,SPAR PH MAGNESIUM,60'S,484.33,2023-03-03T07:05:00,119.9800,119.9800,119.9800,119.9800,119.9800,118.9400,3106165,SPAR PH MAGNESIU,HVITA,H,VITA
6009712061426,SPAR PH M/VITAMIN GINSENG,60'S,396.99,2023-03-03T07:05:00,99.9800,99.9800,99.9800,99.9800,99.9800,99.1100,3105576,SPAR PH M/V GINS,HVITA,H,VITA
6009712061433,SPAR PH URINARY,30'S,443.96,2023-03-03T07:05:00,109.9800,109.9800,109.9800,109.9800,109.9800,109.0300,3105607,SPAR PH URINARY,HVITA,H,VITA
6009712061440,SPAR PH HAIR SKIN NAILS,30'S,403.60,2023-03-03T07:05:00,99.9800,99.9800,99.9800,99.9800,99.9800,99.1100,3104345,SPAR PH H/SK&NA,HVITA,H,VITA
6009712061457,SPAR PH M/VIT KIDS CHEWY,60'S,393.51,2023-03-03T07:05:00,99.9800,99.9800,99.9800,99.9800,99.9800,99.1100,3104406,SPAR PH M/VIT KI,HVITA,H,VITA
6009712061464,SPAR PH CHELATED IRON,30'S,363.22,2023-03-03T07:05:00,89.9800,89.9800,89.9800,89.9800,89.9800,89.2000,3104177,SPAR PH CHELAT,HVITA,H,VITA
6009712061471,SPAR PH MILK THISTLE,60'S,363.22,2023-03-03T07:05:00,89.9800,89.9800,89.9800,89.9800,89.9800,89.2000,3105739,SPAR PH M/THISTL,HVITA,H,VITA
6009712061488,SPAR PH COQ10,30'S,766.91,2023-03-03T07:05:00,189.9800,189.9800,189.9800,189.9800,189.9800,188.3300,3104195,SPAR PH COQ10,HVITA,H,VITA
6009712061495,SPAR PH COLLAGEN BIOACTIV,300GR,1496.13,2023-03-03T07:05:00,369.9800,369.9800,369.9800,369.9800,369.9800,366.7700,3106144,SPAR PH COLLAGEN,HVITA,H,VITA
6009712300105,FRYS POPCORN 300GR,300G,284.22,2023-03-03T07:05:00,69.9800,74.9900,82.9800,73.4800,71.9900,71.3600,3410601,FRYS POPCORN 300,RCVEN,R,CVEN
6009800071207,L'ORMARANS PROTEA SAUV BL,750ML,360.47,2023-03-03T07:03:00,89.9800,89.9800,89.9800,89.9800,89.9800,89.2000,2434548,PROTEA SAUV BLAN,MWWIN,M,WWIN
6009800071214,L'ORMARINS PROTEA C/BLANC,750ML,360.47,2023-03-03T07:03:00,89.9800,89.9800,89.9800,89.9800,89.9800,89.2000,2433887,PROTEA CHENIN BL,MWWIN,M,WWIN
6009800071238,L'ORMARINS PROTEA MERLOT,750ML,360.47,2023-03-03T07:03:00,89.9800,89.9800,89.9800,89.9800,89.9800,89.2000,2434559,L'ORMARINS MERLO,MRWIN,M,RWIN
6009800071245,L'ORMARINS PROTEA CAB/SAV,750ML,360.47,2023-03-03T07:03:00,89.9800,89.9800,89.9800,89.9800,89.9800,89.2000,2434992,PROTEA CAB SAUV,MRWIN,M,RWIN
6009800071313,PROTEA SHIRAZ,750ML,360.47,2023-03-03T07:04:00,89.9800,89.9800,89.9800,89.9800,89.9800,89.2000,2792728,PROTEA SHIRAZ,MRWIN,M,RWIN
6009800071450,PROTEA CHARDONNAY,750ML,360.47,2023-03-03T07:04:00,89.9800,89.9800,89.9800,89.9800,89.9800,89.2000,2792716,PROTEA CHARDONNA,MWWIN,M,WWIN
6009800071863,ANTHONIJ RUPERT OPTIMA,750ML,1071.11,2023-03-03T07:04:00,269.9800,269.9800,269.9800,269.9800,269.9800,267.6400,3036365,A/RUPERT OPTIMA,MRWIN,M,RWIN
6009800091014,ORIGINAL ICED STRAWBERRY,300ML,224.68,2023-03-03T07:04:00,29.9800,29.9800,29.9800,29.9800,29.9800,29.7200,2959633,ORIGINAL S/BERRY,MCOCK,M,COCK
6009800091021,ORIGINAL ICED PINA COLADA,300ML,224.68,2023-03-03T07:04:00,29.9800,29.9800,29.9800,29.9800,29.9800,29.7200,2959631,ORIGIN ICE P/COL,MCOCK,M,COCK
6009800091038,ORIGINAL ICED MARGARITA,300ML,224.68,2023-03-03T07:04:00,29.9800,29.9800,29.9800,29.9800,29.9800,29.7200,2959629,ORIGIN ICE MARGA,MCOCK,M,COCK
