relevant_date,instance_type,stack_type,env,cost,hours,DefaultVCpus,core_seconds_used,cost_per_core_hour
2023-06-06,m5d.8xlarge,io,prod,5171.3931900895,4883.397536,32,562567396.1472,0.03309295137226710
2023-06-06,m5dn.8xlarge,io,prod,64.3038143469,53.069176,32,6113569.0752,0.03786556245645540
2023-06-06,m5n.4xlarge,cmp,prod,22.022793136,37.126108,16,2138463.8208000000,0.03707430283292820
2023-06-06,m6a.4xlarge,cmp,prod,259.6213398859,456.58725100000000,16,26299425.6576,0.03553829789888010
2023-06-06,m6id.8xlarge,io,prod,0.3453816615,0.282777,32,32575.9104,0.03816851059978360
2023-06-06,m6idn.8xlarge,io,prod,55.1859555888,45.481111,32,5239423.987200000,0.03791818348830570
2023-06-06,m6in.4xlarge,cmp,prod,68.1707759077,112.180566,16,6461600.6016,0.037980495607690600
2023-06-06,r5.2xlarge,cmp,prod,1988.9788731359,10451.838401,8,301012945.9488,0.023787428546369400
2023-06-06,r5a.2xlarge,cmp,prod,28.5034480044,94.66583900000000,8,2726376.1632,0.03763692413426980
2023-06-06,r5ad.4xlarge,io,prod,2122.8231717983,3674.392248,16,211644993.4848,0.036108406311169000
2023-06-06,r5b.2xlarge,cmp,prod,73.7683162464,244.255268,8,7034551.7184,0.03775165058384740
2023-06-06,r5d.4xlarge,io,prod,2572.5209692674,4570.451648,16,263258014.9248,0.035178702885866800
2023-06-06,r5dn.4xlarge,io,prod,1659.0771364522000,2876.451662,16,165683615.7312,0.03604869235180030
2023-06-06,r5n.2xlarge,cmp,prod,134.2866998705,449.569153,8,12947591.6064,0.03733760951301860
2023-06-06,r6a.2xlarge,cmp,prod,59.518722029,198.893599,8,5728135.6512,0.037406132178366400
2023-06-06,r6i.2xlarge,cmp,prod,96.91335320330000,328.140561,8,9450448.1568,0.03691762186757670
2023-06-06,r6id.4xlarge,io,prod,14.634367636,24.55472,16,1414351.872,0.037249375160865200
2023-06-06,r6idn.4xlarge,io,prod,618.1546244083,1022.7889320000000,16,58912642.4832,0.03777383858659000
2023-06-06,r6in.2xlarge,cmp,prod,58.24820387050000,192.611667,8,5547216.0096,0.037801580751660800
2023-06-07,c5.2xlarge,cmp,prod,29.52,120,8,3456000,0.03075
2023-06-07,c5.2xlarge,io,prod,41.328,168,8,4838400,0.030750000000000000
2023-06-07,m5.4xlarge,cmp,prod,15.5404563191,35.650832,16,2053487.9232,0.027244203443660200
2023-06-07,m5a.4xlarge,cmp,prod,10.857283846000000,18.483055,16,1064623.968,0.03671364070360660
2023-06-07,m5ad.8xlarge,io,prod,124.56844936,102.317494,32,11786975.308800000,0.038045928318963700
2023-06-07,m5d.8xlarge,io,prod,2598.7160003252,2468.254428,32,284342910.1056,0.03290174387571790
2023-06-07,m5dn.8xlarge,io,prod,54.113418929,44.478613,32,5123936.2176,0.03801926875577820
2023-06-07,m5n.4xlarge,cmp,prod,45.0216922564,75.632216,16,4356415.6416,0.03720446014731340
2023-06-07,m6a.4xlarge,cmp,prod,100.9126880023,173.916952,16,10017616.4352,0.03626468223835790
2023-06-07,m6i.4xlarge,cmp,prod,0.5965408608,1.100832,16,63407.923200000000,0.03386875
2023-06-07,m6id.8xlarge,io,prod,11.5775982013,9.487222000000000,32,1092927.9744000000,0.03813549886264130
2023-06-07,m6idn.8xlarge,io,prod,45.243573075,37.243055,32,4290399.936,0.03796309563202460
2023-06-07,m6in.4xlarge,cmp,prod,29.442443672100000,48.785003000000000,16,2810016.1728,0.03771963956846020
2023-06-07,r5.2xlarge,cmp,prod,2591.5757941435,13111.566574,8,377613117.3312,0.024706961783675700
2023-06-07,r5a.2xlarge,cmp,prod,92.7971660159,310.69555800000000,8,8948032.070400000,0.037334443487561900
2023-06-07,r5ad.4xlarge,io,prod,2244.8545980531,3884.990018,16,223775425.0368,0.036114227251103
2023-06-07,r5b.2xlarge,cmp,prod,200.20299542430000,665.551097,8,19167871.5936,0.037600981413509000
2023-06-07,r5d.4xlarge,io,prod,2899.5538528843,5123.79277,16,295130463.552,0.035368744197917400
2023-06-07,r5dn.4xlarge,io,prod,2887.7356320721,5000.381409,16,288021969.1584,0.03609394209002950
2023-06-07,r5n.2xlarge,cmp,prod,112.4836488568,375.740557,8,10821328.0416,0.03742065061957100
2023-06-07,r6a.2xlarge,cmp,prod,246.7403931968,819.5636020000000,8,23603431.737600000,0.0376328927667532
2023-06-07,r6i.2xlarge,cmp,prod,54.4315573612,184.844995,8,5323535.856000000,0.03680892019905650
2023-06-07,r6id.4xlarge,io,prod,61.188149719900000,100.79916700000000,16,5806032.019200000,0.03793939445445760
2023-06-07,r6idn.4xlarge,io,prod,565.1292549649000,933.7847340000000,16,53786000.6784,0.037825182988380500
2023-06-07,r6in.2xlarge,cmp,prod,180.8266791073,598.715015,8,17242992.432,0.03775307837972380
2023-06-08,c5.2xlarge,cmp,prod,28.228568388,114.75027800000000,8,3304808.0064000000,0.030750000000000000
2023-06-08,c5.2xlarge,io,prod,41.082,167,8,4809600,0.03075
2023-06-08,m5.4xlarge,cmp,prod,62.1731428029,134.743342,16,7761216.4992,0.028838689671072900
2023-06-08,m5a.4xlarge,cmp,prod,3.3810345194,5.75861,16,331695.936,0.036695427796377900
2023-06-08,m5ad.8xlarge,io,prod,282.2986101513,233.677507,32,26919648.806400000,0.037752163999370800
2023-06-08,m5d.8xlarge,io,prod,2974.9985515224,2917.863677,32,336137895.5904,0.03186190824057300
2023-06-08,m5dn.8xlarge,io,prod,212.4596164197,176.285549,32,20308095.2448,0.037662548352818300
2023-06-08,m5n.4xlarge,cmp,prod,13.2634694162,22.296109,16,1284255.8784,0.03717988813709600
2023-06-08,m6a.4xlarge,cmp,prod,7.2750917015,12.192500000000000,16,702288,0.03729286293571870
2023-06-08,m6i.4xlarge,cmp,prod,0.6966817668,1.160556,16,66848.0256,0.037518750000000000
