date,instance_type,stack_type1,env,cost,hours,DefaultVCpus,core_seconds_used,memory_gb,executor_cpu,executor_mem,num_executors,unallocated_cores,unallocated_core_seconds,cost_per_core_hour
2023-11-03 00:00:00,c5.2xlarge,cmp,prod,118.08,480.0,8,13824000.0,16.384,1,0,0,8,13824000.0,0.03075
2023-11-03 00:00:00,c5.2xlarge,io,prod,183.024,744.0,8,21427200.0,16.384,1,0,0,8,21427200.0,0.03075
2023-11-03 00:00:00,m5.4xlarge,cmp,prod,209.2825260793,563.409715,16,32452399.584,65.536,2,1,1,8,16226199.792,0.023216067333798500
2023-11-03 00:00:00,m5a.4xlarge,cmp,prod,36.42118273,103.401668,16,5955936.0768,65.536,2,1,1,8,2977968.0384,0.022014382984856700
2023-11-03 00:00:00,m5ad.8xlarge,io,prod,216.7118511777,288.258065,32,33207329.088,131.072,4,2,2,16,16603664.544,0.023493689064009800
2023-11-03 00:00:00,m5d.8xlarge,io,prod,264.8367605016,287.669203,32,33139492.1856,131.072,4,2,2,16,16569746.0928,0.028769672524434300
2023-11-03 00:00:00,m5dn.8xlarge,io,prod,39.4406895272,30.76861,32,3544543.872,131.072,4,2,2,16,1772271.936,0.04005775846633960
2023-11-03 00:00:00,m5n.4xlarge,cmp,prod,27.9170376418,36.494159,16,2102063.5584,65.536,2,1,1,8,1051031.7792,0.04781079768443220
2023-11-03 00:00:00,m6a.4xlarge,cmp,prod,207.4691620756,574.9233330000000,16,33115583.980800000,65.536,2,1,1,8,16557791.9904,0.02255400309126960
2023-11-03 00:00:00,m6i.4xlarge,cmp,prod,9.8954656291,26.655573,16,1535361.0048,65.536,2,1,1,8,767680.5024,0.023202149952610300
2023-11-03 00:00:00,m6id.8xlarge,io,prod,171.0338111288,196.941414,32,22687650.8928,131.072,4,2,2,16,11343825.4464,0.02713906886935930
2023-11-03 00:00:00,m6idn.8xlarge,io,prod,0.3657060976,0.416111,32,47935.9872,131.072,4,2,2,16,23967.9936,0.027464584089341500
2023-11-03 00:00:00,m6in.4xlarge,cmp,prod,27.9930812522,54.895828,16,3161999.6928000000,65.536,2,1,1,8,1580999.8464000000,0.03187068383889760
2023-11-03 00:00:00,r5.2xlarge,cmp,prod,2182.3476357699,8069.148323,8,232391471.7024,65.536,1,1,1,0,0.0,0.033806969899620900
2023-11-03 00:00:00,r5a.2xlarge,cmp,prod,201.0333603103,911.343566,8,26246694.7008,65.536,1,1,1,0,0.0,0.02757376139613580
2023-11-03 00:00:00,r5ad.4xlarge,io,prod,581.602185962,794.0566610000000,16,45737663.6736,131.072,2,2,2,0,0.0,0.045777761724015100
2023-11-03 00:00:00,r5ad.8xlarge,io,prod,433.8349196471,330.569173,32,38081568.7296,262.144,4,5,4,0,0.0,0.04101211590885960
2023-11-03 00:00:00,r5b.2xlarge,cmp,prod,39.3037615603,90.405559,8,2603680.0992,65.536,1,1,1,0,0.0,0.05434367365658900
2023-11-03 00:00:00,r5d.4xlarge,io,prod,2819.1185394961000,4212.295025,16,242628193.44000000,131.072,2,2,2,0,0.0,0.04182871989563610
2023-11-03 00:00:00,r5d.8xlarge,io,prod,2806.1005283759,2628.179699,32,302766301.32480000,262.144,4,5,4,0,0.0,0.03336554252554060
2023-11-03 00:00:00,r5dn.4xlarge,io,prod,2730.8015284822,3555.34219,16,204787710.144,131.072,2,2,2,0,0.0,0.048005251367980800
2023-11-03 00:00:00,r5dn.8xlarge,io,prod,136.0337159501,84.824729,32,9771808.7808,262.144,4,5,4,0,0.0,0.05011573480465380
2023-11-03 00:00:00,r5n.2xlarge,cmp,prod,534.5275905512,1563.5802650000000,8,45031111.63200000,65.536,1,1,1,0,0.0,0.04273266317984640
2023-11-03 00:00:00,r6a.2xlarge,cmp,prod,324.7318242164,1426.061638,8,41070575.1744,65.536,1,1,1,0,0.0,0.028464041767492000
2023-11-03 00:00:00,r6i.2xlarge,cmp,prod,68.903773608,315.667773,8,9091231.8624,65.536,1,1,1,0,0.0,0.027284925601195300
2023-11-03 00:00:00,r6id.4xlarge,io,prod,443.3323387335,655.548313,16,37759582.8288,131.072,2,2,2,0,0.0,0.04226732129633860
2023-11-03 00:00:00,r6id.8xlarge,io,prod,71.9284964462,71.249184,32,8207905.9968,262.144,4,5,4,0,0.0,0.03154794746763350
2023-11-03 00:00:00,r6idn.4xlarge,io,prod,1174.3217511059,1340.436695,16,77209153.632,131.072,2,2,2,0,0.0,0.05475462565139550
2023-11-03 00:00:00,r6idn.8xlarge,io,prod,122.0559521846,68.937784,32,7941632.7168,262.144,4,5,4,0,0.0,0.05532885283589550
2023-11-03 00:00:00,r6in.2xlarge,cmp,prod,373.8744719335,668.368319,8,19249007.5872,65.536,1,1,1,0,0.0,0.0699229865676615
2023-11-04 00:00:00,c5.2xlarge,cmp,prod,123.73800000000000,503.0,8,14486400.0,16.384,1,0,0,8,14486400.0,0.03075000000000000
2023-11-04 00:00:00,c5.2xlarge,io,prod,187.45200000000000,762.0,8,21945600.0,16.384,1,0,0,8,21945600.0,0.030750000000000000
2023-11-04 00:00:00,m5.4xlarge,cmp,prod,13.302216248700000,35.672229,16,2054720.3904000000,65.536,2,1,1,8,1027360.1952000000,0.02330632368231740
2023-11-04 00:00:00,m5a.4xlarge,cmp,prod,46.137790371100000,125.71528500000000,16,7241200.416,65.536,2,1,1,8,3620600.208,0.022937639589281000
2023-11-04 00:00:00,m5ad.8xlarge,io,prod,300.87292277610000,401.81222200000000,32,46288767.9744,131.072,4,2,2,16,23144383.9872,0.023399683538628500
2023-11-04 00:00:00,m5d.8xlarge,io,prod,431.27934826740000,473.900008,32,54593280.9216,131.072,4,2,2,16,27296640.4608,0.028439500750876200
2023-11-04 00:00:00,m5dn.8xlarge,io,prod,89.6894758109,75.39304900000000,32,8685279.2448,131.072,4,2,2,16,4342639.6224,0.03717578949606650
2023-11-04 00:00:00,m5n.4xlarge,cmp,prod,116.7338622284,159.29555200000000,16,9175423.795200000,65.536,2,1,1,8,4587711.897600000,0.04580081676903950
2023-11-04 00:00:00,m6a.4xlarge,cmp,prod,309.3073610532,790.7675390000000,16,45548210.2464,65.536,2,1,1,8,22774105.1232,0.024446767365124500
2023-11-04 00:00:00,m6i.4xlarge,cmp,prod,9.9368485338,26.486662000000000,16,1525631.7312,65.536,2,1,1,8,762815.8656,0.023447765270025300
2023-11-04 00:00:00,m6id.8xlarge,io,prod,234.05469538410000,258.479713,32,29776862.9376,131.072,4,2,2,16,14888431.4688,0.028297034014244400
2023-11-04 00:00:00,m6idn.8xlarge,io,prod,2.5968413929000000,2.6511110000000000,32,305407.9872,131.072,4,2,2,16,152703.9936,0.030610296410872600
2023-11-04 00:00:00,m6in.4xlarge,cmp,prod,5.1617769183,9.864171000000000,16,568176.2496,65.536,2,1,1,8,284088.1248,0.032705339089696400
2023-11-04 00:00:00,r5.2xlarge,cmp,prod,2150.0372558099000,7826.513693000000,8,225403594.35840000,65.536,1,1,1,0,0.0,0.03433900041810580
2023-11-04 00:00:00,r5a.2xlarge,cmp,prod,86.78238700980000,391.98722100000000,8,11289231.9648,65.536,1,1,1,0,0.0,0.02767385719501550
2023-11-04 00:00:00,r5ad.4xlarge,io,prod,782.3873815893,1076.8766700000000,16,62028096.192000000,131.072,2,2,2,0,0.0,0.045408367282514600
2023-11-04 00:00:00,r5ad.8xlarge,io,prod,406.6355254862,305.106405,32,35148257.856,262.144,4,5,4,0,0.0,0.04164894595196630
